song_id,release_year,key,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,popularity,artist_type,genre,hit,duration_log,followers_log
2IKI9AJSfHfarD3P5SJttC,1970,"C♯, D♭",0.317,0.475,0.515,0.0,0.161,-10.022,0.0658,0.6,142.899,25.0,band,unknown,0,12.08232749674707,8.508959386489133
2IOjsucrORGHHlqIlF3OAF,1997,F,0.149,0.621,0.683,2.87e-06,0.0964,-7.488,0.0396,0.684,148.026,65.0,band,pop,0,12.552120319544176,13.258047451346927
2ITpt5mcvMOI7kIJPqUvbb,1965,"A♯, B♭",0.656,0.505,0.295,0.0,0.128,-12.414,0.0549,0.401,104.129,45.0,singer,soul/r&b,0,12.228489499814174,8.952993499320474
2IVbBYA2lfky1HiPHFveZm,1970,C,0.505,0.709,0.757,0.000942,0.102,-9.477,0.0582,0.708,109.506,26.0,-,unknown,0,11.98185351598903,5.442417710521793
2IWYi4NJyJvhpJVjVs2pm8,1989,A,0.443,0.326,0.3,0.0,0.143,-13.671,0.0454,0.391,185.63,46.0,singer,soul/r&b,0,12.593886211099544,9.294405747093851
2IXGIhLcTl5WsCcFYuq3Tt,1965,"C♯, D♭",0.00226,0.593,0.592,9.36e-06,0.232,-7.75,0.0311,0.652,122.848,69.0,band,rock,0,12.150919279062146,13.974159107193945
2IcqY68BxP1ONPi3ME6aje,1977,A,0.932,0.335,0.303,0.0271,0.0907,-10.943,0.0315,0.186,114.224,68.0,singer,adult standards,1,12.12703484943049,13.213398979660214
2IdX78foFmCvbw2sfsfucl,1971,C,0.492,0.482,0.752,1.8e-05,0.725,-7.727,0.0315,0.573,126.501,86.0,singer,rock,0,12.542166239046562,15.056528248509482
2Ie2PTlhSYqE7WG5l6QzrB,1997,"C♯, D♭",0.255,0.513,0.514,0.0,0.258,-5.819,0.0274,0.216,132.157,78.0,band,rock,1,12.417095031433972,14.660149744350694
2IefsDKjQIAzcP9WgBn6Aq,2007,"F♯, G♭",0.318,0.739,0.615,0.349,0.118,-7.27,0.0659,0.729,94.0,26.0,-,functional,1,12.392336421556752,9.27995971385624
2IfpSQcggsntXGjXRFWj1b,1976,"A♯, B♭",0.313,0.502,0.699,0.0,0.151,-7.691,0.0301,0.653,85.212,64.0,band,rock,0,12.471716142816387,13.28982507129126
2IiDmAzpj7SU0flm2eBH5D,1974,C,0.199,0.789,0.671,0.187,0.119,-10.244,0.1,0.502,98.909,47.0,singer,soul/r&b,0,12.203739926856347,9.640823243059636
2Iib2MV3ECFJAourgP9dlY,1987,"C♯, D♭",0.392,0.708,0.832,1.33e-06,0.0561,-4.736,0.0362,0.968,99.953,82.0,singer,pop,1,12.400602707653633,15.00887620477363
