song_id,score,release_year,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,explicit,song_type,followers,popularity,artist_type,main_genre
01hJnhpAmjzg85Etnz2ECH,14,2011,200587,1,1,3,0.87,0.342,0.249,5.09e-05,0.152,-11.812,0.0277,0.203,94.746,False,Collaboration,5815877.0,79.0,singer,british soul
01jIO8SJFnpSiNLH1JaBZ5,75,2018,217387,8,0,4,0.413,0.735,0.453,0.0,0.104,-8.264,0.0602,0.335,115.002,True,Solo,1311839.0,76.0,singer,atl hip hop
01kmJXmeQaNlSZFRyFlSmz,1499,1975,264360,5,1,4,0.101,0.623,0.681,0.0158,0.269,-15.733,0.0604,0.843,107.319,False,Solo,304320.0,55.0,band,classic soul
01l9n7SiPCty5PfKPcqMS4,246,1971,181813,4,1,4,0.442,0.633,0.693,0.00245,0.0702,-13.506,0.0331,0.889,103.047,False,Solo,60301.0,61.0,band,bluegrass
01mWFDRL40UlnbOXya5gqm,550,2014,267333,0,1,4,0.00276,0.558,0.667,0.0,0.0641,-6.041,0.0265,0.402,105.991,False,Solo,1196822.0,69.0,band,alternative metal
01n1kfqOOjh4SGqjVNVNNN,428,2006,180481,0,1,4,0.067,0.819,0.636,1.57e-06,0.199,-8.682,0.133,0.439,147.9,False,Solo,2059.0,35.0,-,-
01qWCNkkknoQktSrxjIHF8,580,1970,156893,6,1,4,0.331,0.694,0.445,0.0,0.0425,-13.967,0.0321,0.96,112.594,False,Solo,79350.0,52.0,singer,classic soul
01qoKBIhSo3AlowvoiKPqH,389,1988,368333,1,1,4,0.000378,0.724,0.79,0.482,0.0545,-11.389,0.0699,0.962,115.421,False,Solo,31617.0,38.0,-,freestyle
01rYWOpu72uFQORnWN84C3,1443,1996,249920,6,1,4,0.591,0.631,0.536,0.0,0.108,-7.194,0.0586,0.829,59.999,False,Solo,1939362.0,73.0,singer,-
01slhbkp1vxXKC9lDO6zxp,186,1967,186240,10,1,4,0.412,0.482,0.484,0.0,0.0672,-8.987,0.0468,0.56,170.548,False,Solo,33424.0,53.0,singer,funk
01snF0yZUkySMc0BcKiWOt,90,1968,163066,2,1,4,0.284,0.747,0.29,0.405,0.356,-11.99,0.0303,0.653,105.16,False,Solo,18185.0,42.0,-,jazz blues
01sno3m5rqaFy2YVE1A7LZ,82,1983,204680,9,1,4,0.00351,0.488,0.905,0.373,0.0685,-3.789,0.0485,0.805,128.472,False,Solo,12366680.0,86.0,band,album rock
01tKbq9PNJVgmmUvb7skOP,1396,1988,267067,6,1,4,0.864,0.327,0.361,0.117,0.13,-9.431,0.0319,0.168,84.525,False,Solo,275930.0,66.0,singer,adult standards
01wn883KcvAKFrn8o0kDgi,203,1984,251853,0,0,4,0.00102,0.648,0.918,0.0605,0.173,-4.67,0.0447,0.654,119.165,False,Solo,351120.0,56.0,band,album rock
01xc0Rvv19F2p2wno0KUF4,1367,1986,260333,6,0,4,0.0201,0.623,0.685,6.38e-06,0.322,-11.515,0.0368,0.782,110.045,False,Solo,6415.0,42.0,singer,-
01xhMrdCefADl7HSttJaf7,4,2016,251707,10,0,4,0.293,0.637,0.862,0.0,0.217,-4.343,0.191,0.573,82.019,True,Solo,29084503.0,94.0,rapper,detroit hip hop
01z2fBGB8Hl3Jd3zXe4IXR,10,2018,161840,2,0,4,0.89,0.272,0.238,0.00925,0.275,-12.148,0.0349,0.119,83.507,False,Solo,3435096.0,85.0,rapper,hip hop
01z8DYuLaMcRrV4v4CUiSz,313,1965,171987,4,1,4,0.473,0.404,0.726,0.0,0.222,-7.216,0.0384,0.529,128.96,False,Collaboration,0.0,0.0,-,-
01zu7o6BUebaLXkjHMN71i,748,1966,180760,7,1,4,0.863,0.225,0.296,0.185,0.112,-9.652,0.0357,0.308,112.467,False,Solo,427154.0,63.0,band,bow pop
020A6nXRCIC7AsKuHkxmH6,150,1995,242715,1,1,4,0.168,0.552,0.499,0.0,0.116,-11.491,0.0252,0.228,106.016,False,Solo,33687.0,47.0,-,-
020b0QxseQbcMTPKV49qRm,141,2013,221387,4,1,4,0.147,0.402,0.7,0.0,0.0992,-4.613,0.0348,0.496,198.972,False,Solo,53605.0,34.0,singer,idol
021O8Fvrww2EJB8220tgXo,1196,1968,218840,5,1,4,0.871,0.23,0.273,2.21e-06,0.059,-13.277,0.0352,0.0868,74.919,False,Solo,388011.0,65.0,singer,adult standards
022rVz5n3Ga5CelWqme1Sb,596,1999,225440,9,1,4,0.123,0.589,0.369,2.21e-06,0.114,-11.477,0.0242,0.295,98.997,False,Solo,198527.0,55.0,singer,arkansas country
023ANytNFEk7vglingnI4p,1224,1982,174040,11,0,4,0.0626,0.748,0.791,1.29e-06,0.205,-6.845,0.033,0.983,116.899,False,Solo,6849.0,34.0,band,rhythm and blues
024Q1MI4uaYHF6j2Q2ZYgF,1965,2004,233360,10,0,4,0.182,0.828,0.792,0.0,0.281,-5.435,0.179,0.777,134.199,True,Solo,510313.0,71.0,rapper,chicago rap
024t97fsjL7a2cxUlVsStn,1320,1990,252360,0,1,4,0.0701,0.517,0.764,2.78e-06,0.221,-6.649,0.0282,0.246,88.142,False,Solo,1384878.0,73.0,band,adult standards
0290RpkX79wgpUQ89i7c7o,17,1966,137707,1,1,4,0.311,0.72,0.913,0.000186,0.246,-5.274,0.248,0.94,93.373,False,Solo,628.0,25.0,band,-
0290kk4DWG2x8WRraLGrJS,93,2005,255893,2,1,4,0.00608,0.546,0.652,0.0,0.249,-6.515,0.0293,0.467,83.979,False,Solo,2102.0,23.0,-,country road
029711BlHKszqkSd9GaNI6,778,1969,168961,4,1,4,0.215,0.523,0.802,0.0,0.202,-5.612,0.0431,0.966,128.578,True,Solo,59.0,7.0,-,-
